Name,Label,Type,Target,NewCapacity,CapEx,Source,Status,EarliestYear,Group,AssetLife,Note
NEAP,North East Australia Pipeline,Pipeline,NEAP,200,2000000000,Market,Proposed,2030.0,,50.0,"APA's North to East Australia Pipeline - 1561 km from the Beetaloo to the SWQP; 100% APA; investigation phase with a 2030s proposed opening. This is the only candidate that relieves the Beetaloo corridor: it bypasses the NGP and the 65 TJ/d Carpentaria southbound leg entirely. Capacity is GARY's own - APA publishes none and the one figure in circulation (50 TJ/d) comes from survey-permit material and would be $40m per TJ/d which no one would build. CapEx is GARY's own at Jemena's NGP unit rate ($800m / 622 km = $1.29m/km). Tariff 0.73 is GARY's variable-haulage convention (~$0.43/GJ per 1000 km) over 1561 km - NOT a posted tariff; see the arcs.csv Cost note in the README. EARLIEST YEAR 2030, APA's stated 2030s opening, now enforced: expansion_options.csv carries a per-row EarliestYear and both the capacity MIP and the dispatch model honour it for every Type, not just Terminals (TODO item 4). Before that this row could be, and was, built in 2026."
Judith,Judith gas field,Terminal,Gippsland,125,0,GSOO,Proposed,2029.0,,,"AEMO 2026 GSOO G26 Field Developments sheet: Judith, Undeveloped, offshore Gippsland, 125 TJ/d, projected 2029. Unlocks part of the basin's 2C tranche in supply.csv, which carries AEMO's published 2C cost. Capacity and year are AEMO's. Capacity and year are AEMO's. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Otway_Annie,Annie (Otway),Terminal,Iona,12,0,GSOO,Proposed,2028.0,,,"AEMO 2026 GSOO G26 Field Developments: Annie, first production 2028, Potential development, Otway. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Otway's 7.5% share is 52 TJ/d, split across the five Otway projects on their relative scale. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Otway_Juliet,Juliet (Otway),Terminal,Iona,12,0,GSOO,Proposed,2028.0,,,"AEMO 2026 GSOO G26 Field Developments: Juliet, first production 2028, Potential development, Otway. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Otway's 7.5% share is 52 TJ/d, split across the five Otway projects on their relative scale. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Otway_Nestor,Nestor (Otway),Terminal,Iona,10,0,GSOO,Proposed,2033.0,,,"AEMO 2026 GSOO G26 Field Developments: Nestor, 2033, Potential development, Otway. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Otway's 7.5% share is 52 TJ/d, split across the five Otway projects on their relative scale. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Otway_Elanora,Elanora (Otway),Terminal,Iona,9,0,GSOO,Proposed,2035.0,,,"AEMO 2026 GSOO G26 Field Developments: Elanora, 2035, Potential development, Otway. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Otway's 7.5% share is 52 TJ/d, split across the five Otway projects on their relative scale. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Otway_Wobbegong,Wobbegong (Otway),Terminal,Iona,9,0,GSOO,Proposed,2037.0,,,"AEMO 2026 GSOO G26 Field Developments: Wobbegong, 2037, Potential development, Otway. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Otway's 7.5% share is 52 TJ/d, split across the five Otway projects on their relative scale. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Bowen_Gas_Project,Bowen Gas Project,Terminal,Surat,3148,0,GSOO,Proposed,2030.0,,,"AEMO 2026 GSOO G26 Field Developments: Bowen Gas Project, Proposed, capacity 'Not Currently Available'. SIZING: AEMO publishes no deliverability, and Figure 27 does not cover this basin, so the 2C row is scaled off the DEVELOPED row by the ratio of the two tranches' resources: 4,000 TJ/d x 23,270/28,911 = 3,220 TJ/d for the Surat/Bowen 2C tranche, less the 72 TJ/d of Mahalo and Mt St Martin that AEMO DOES publish. This is the candidate TODO item 3 said was missing. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Mahalo_CSG,Mahalo CSG,Terminal,Surat,50,0,GSOO,Proposed,2026.0,,,"AEMO 2026 GSOO G26 Field Developments sheet: Mahalo Gas (CSG) Project PL 1082, not approved for development, in FEED, 50 TJ/day from this block. Unlocks part of the basin's 2C tranche in supply.csv, which carries AEMO's published 2C cost. Capacity is AEMO's. Capacity and year are AEMO's. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Mt_St_Martin,Mt St Martin,Terminal,Surat,22,0,GSOO,Proposed,2027.0,,,"AEMO 2026 GSOO G26 Field Developments sheet: Mt St Martin, Uncertain project, Bowen, 22 TJ/d, 2027, greenfield. Unlocks part of the basin's 2C tranche in supply.csv, which carries AEMO's published 2C cost. Capacity and year are AEMO's. Capacity and year are AEMO's. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Cooper_2C,Cooper/Eromanga 2C,Terminal,Moomba,282,0,Market,Proposed,2030.0,,,"GARY's own candidate, NOT an AEMO project: AEMO's Field Developments sheet names no discrete Cooper/Eromanga development, but the basin holds 1,603 PJ of 2C that Figure 27's Uncertain category plainly produces. SIZING: AEMO publishes no deliverability for this development. GARY uses AEMO's own production forecast where one covers the basin -- Figure 27, southern gas fields -- allocating its Uncertain plateau (250 PJ/yr mean 2030-45, 685 TJ/d) across the southern basins by 2C resource share. Cooper's 41.2% share is 282 TJ/d. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
Carpentaria_Pilot,Carpentaria pilot,Terminal,Beetaloo,25,0,GSOO,Committed,2025.0,,,"AEMO 2026 GSOO G26 Field Developments sheet: Carpentaria Pilot Project, Committed, Beetaloo, 25 TJ/d, H2 2025. Unlocks part of the basin's 2C tranche in supply.csv, which carries AEMO's published 2C cost. Capacity and year are AEMO's. NO CAPEX, DELIBERATELY: AEMO publishes no 2P cost for the Beetaloo at all, only the $9.15/GJ 2C figure, so there is nothing to split the capital out with. The supply row therefore carries AEMO's FULL cost and this row carries no derived capital -- the capital is inside the commodity cost. Inventing an operating basis for it (by scaling the full cost on other basins' 2P/2C ratios, say) would put a GARY number where AEMO has published none."
Beetaloo_Pilot,Beetaloo pilot,Terminal,Beetaloo,40,0,GSOO,Proposed,2026.0,,,"AEMO 2026 GSOO G26 Field Developments sheet: Beetaloo, Appraisal, 40 TJ/d pilot (1,000 TJ/d full field). Unlocks part of the basin's 2C tranche in supply.csv, which carries AEMO's published 2C cost. The PILOT figure is used, not the full-field one. NO CAPEX, DELIBERATELY: AEMO publishes no 2P cost for the Beetaloo at all, only the $9.15/GJ 2C figure, so there is nothing to split the capital out with. The supply row therefore carries AEMO's FULL cost and this row carries no derived capital -- the capital is inside the commodity cost. Inventing an operating basis for it (by scaling the full cost on other basins' 2P/2C ratios, say) would put a GARY number where AEMO has published none."
Amadeus_2C,Amadeus 2C,Terminal,Amadeus,47,0,Market,Proposed,2030.0,,,"GARY's own candidate, NOT an AEMO project: the Amadeus fields (Dingo, Mereenie, Palm Valley) are 'Commercial in confidence' in AEMO's sheet. SIZING: AEMO publishes no deliverability, and Figure 27 does not cover this basin, so the 2C row is scaled off the DEVELOPED row by the ratio of the two tranches' resources: 55 TJ/d x 195.4/230.0 = 47 TJ/d. CAPITAL SITS IN THE COMMODITY COST, NOT HERE: since 2 Sep 2026 the 2C supply row carries AEMO's FULL 2C cost ($/GJ -- AEMO says it includes operating cost, capital, royalty, tax and a return on capital), so this row's CapEx is 0 and must stay 0; a lump here as well would charge the development capital twice. build_field_developments.py --capex reports the old split for reference only."
MAPS_Compression,MAPS compression,Pipeline,MAPS,52,246000000,Market,Proposed,2029.0,,25.0,"AEMO 2025 Gas Infrastructure Options Report, Appendix A2: ""Moomba Adelaide Pipeline System to Port Campbell to Adelaide pipeline connection"" -- ""Dedicated connection from MAPS to PCA"" plus ""Compression"", source ""Gas Infrastructure Options Report consultation"", zone Southern, capacity ""Not published"". THIS ROW IS THE COMPRESSION HALF ONLY. The dedicated MAPS-to-PCA connection is already implicit in GARY's topology -- the Adelaide node is where the MAPS meets SEA_Gas_Rev -- so a candidate for it would model nothing; the compression is the half that moves a number. SIZING IS A PUBLISHED ENDPOINT, NOT A GARY GUESS: the SA Department for Energy and Mining's petroleum infrastructure page gives the mainline's fully compressed capacity, with all seven compressor stations online, as ~110 PJ/yr, against ~91 PJ/yr in its current four-station configuration. 91 PJ/yr is 249 TJ/d, which is exactly the AEMC pipeline register's rating and GARY's MAPS arc, so the two figures sit on one basis and the increment follows: 110 PJ/yr = 301 TJ/d, less the 249 base = 52 TJ/d. It is conservative against the pipe's own history -- Epic Energy's NCC coverage-revocation application put the system's firm capacity at 348 TJ/d as configured in December 2004 and its maximum at 418 TJ/d. CAPEX IS GARY'S OWN, at the SWP compression unit rate ($213m AER-approved for 45 TJ/d = $4.73m per TJ/d), the closest analogue in the model: new compression on an existing southern transmission line. It is deliberately the DEAR end of the range, because the seven MAPS stations already exist and four of them run, so recommissioning should cost less than greenfield units -- and a candidate that relieves the largest congestion rent in the model should not also be flattered on price. EARLIEST YEAR IS A GARY CONVENTION, NOT A PUBLISHED DATE: AEMO's options report gives none, and 2029 matches the other proposed southern projects rather than letting a consultation-stage option be built next year."
NGP_Reversal,NGP reversal,Pipeline,NGP_Rev,60,67000000,Market,Proposed,2029.0,,25.0,"Reverse-flow service on Jemena's Northern Gas Pipeline, so southern gas can reach the NT. WHY THIS EXISTS AT ALL: NGP_Rev previously sat in arcs.csv as an EXISTING arc at 106 TJ/d, free from day one, and carried 16,107 TJ north over the horizon in the central case (157,000 in LNG Low). Two things were wrong with that. The 106 is the GSOO's figure for the NGP, which describes gas leaving the NT, and it had been applied to the arc bringing gas in. And the service is not offered: the GBB rates Mt Isa -> Tennant Creek at 60 TJ/d NAMEPLATE but publishes 0.000 for it across the whole medium-term outlook (2026-06-04 to 2028-06-03), 0.000 every day of the short-term outlook and 0.000 uncontracted every month, while the forward direction runs at 80-90. A physical rating that is not sold is a project, not an existing arc -- which is how EGP_Rev, SEA_Gas_Rev, Bulloo and NEAP are all already handled. CAPACITY IS THE GBB NAMEPLATE, 60 TJ/d, not the 106 that was there. CAPEX IS GARY'S OWN at the EGP reversal unit rate ($220m / 200 TJ/d = $1.11m per TJ/d), the closest analogue in the model: reversing an existing long-haul pipeline, and Jemena's in both cases. EARLIEST YEAR IS A GARY CONVENTION, not a published date -- AEMO publishes no reversal project for the NGP at all, so this candidate is GARY's own reading of what the 60 TJ/d nameplate would cost to make available."
